id,LGD
LN14086568,0.2806639
LN37082418,0.21786691
LN42963368,0.30671492
LN54572294,0.25093982
LN65792799,0.32237247
LN63418878,0.25865418
LN90799256,0.25869855
LN57304476,0.25407493
LN45149378,0.322604
LN74570540,0.24876432
LN53307075,0.30038416
LN93046421,0.51855487
LN33980447,0.25603524
LN61744771,0.2665335
LN67022079,0.2840466
LN45220043,0.27273786
LN64169040,0.28245434
LN35174100,0.35081926
LN64693542,0.25831404
LN45061128,0.27830014
LN30704573,0.2904892
LN13313979,0.26217714
LN63495982,0.25253478
LN87005031,0.25268564
LN19066522,0.26207817
LN24634110,0.25403383
LN97279529,0.27356538
LN63452165,0.2640743
LN82003020,0.27341294
LN65658706,0.24615411
LN89810178,0.2599971
LN48633896,0.31552258
LN40899189,0.27711475
LN90069065,0.28178596
LN10033713,0.2829463
LN87716413,0.26657695
LN21872269,0.27556282
LN14752266,0.25784776
LN32688101,0.25731722
LN29285441,0.24204884
LN13211301,0.26317498
LN27519238,0.2751562
LN61589724,0.52839595
LN39111074,0.26431808
LN39207009,0.256179
LN13532050,0.5388163
LN99569582,0.28202844
LN18221102,0.5179842
LN67674159,0.29317972
LN31967123,0.25731722
LN70740783,0.27454472
LN22811762,0.25731722
LN78443233,0.27218184
LN34600187,0.28154182
LN62693886,0.2981942
LN11560466,0.2546329
LN76041339,0.265856
LN17722203,0.26123786
LN62646289,0.25697708
LN85466625,0.26475915
LN39947610,0.26826334
LN28795112,0.261614
LN64427021,0.2977635
LN90954432,0.28164166
LN57415876,0.27318266
LN33908654,0.30806297
LN63814026,0.25139025
LN84670331,0.5299908
LN14057985,0.25284684
LN20802935,0.28522792
LN49462899,0.26805854
LN87452365,0.51799464
LN25060826,0.27508733
LN15474516,0.26237005
LN51892804,0.25493562
LN14673520,0.26067168
LN84808461,0.27571
LN75426816,0.2521253
LN91977214,0.23151724
LN87850995,0.26977476
LN49692442,0.26618055
LN80870467,0.263024
LN71462492,0.27006075
LN19552809,0.27811766
LN92753806,0.2646905
LN11099293,0.269344
LN76741292,0.26317498
LN17213188,0.26207817
LN10382733,0.25886124
LN70409084,0.27579838
LN49410541,0.26785177
LN36495480,0.26470408
LN50362893,0.27602217
LN36821120,0.5255959
LN18089950,0.2525047
LN46736792,0.5275081
LN77060402,0.27344868
LN46408344,0.25568578
LN71332251,0.27521
LN10164126,0.26749834
LN87223391,0.2583832
LN92152683,0.2589502
LN28702245,0.28059894
LN11103539,0.25430068
LN80740275,0.27771476
LN16787411,0.2677344
LN92801965,0.28266665
LN60737661,0.26621297
LN56412806,0.27327704
LN39124832,0.2535462
LN90532101,0.27864945
LN10245821,0.2701296
LN27865198,0.25869855
LN18444890,0.2602801
LN31451938,0.28123668
LN80943875,0.26316
LN20314735,0.26906633
LN99507124,0.5210781
LN40131746,0.28205884
LN50193365,0.27544188
LN68127865,0.50228775
LN44158072,0.2765455
LN60452452,0.28650638
LN51385837,0.26034763
LN76877369,0.26477852
LN19768016,0.2694057
LN90089526,0.27614468
LN67022030,0.287405
LN49390219,0.269344
LN42208516,0.28827012
LN66931203,0.26876038
LN29122834,0.2588159
LN20498434,0.28725347
LN70179694,0.27625164
LN43157641,0.30830985
LN59665421,0.26801082
LN99054255,0.27166903
LN43596045,0.28272146
LN64696029,0.26717776
LN12725814,0.27170494
LN59386887,0.25438082
LN26285656,0.2788487
LN47974869,0.52404624
LN41125795,0.2928789
LN99297413,0.27491534
LN68647940,0.26470408
LN84158050,0.26774096
LN91154075,0.25252524
LN59127081,0.26791307
LN25225473,0.26991546
LN67531416,0.27747115
LN21289605,0.27225706
LN47163703,0.25406387
LN44217962,0.2789554
LN46271123,0.25754032
LN93235876,0.27406406
LN90228748,0.5306059
LN69958696,0.29784855
LN84257018,0.26264098
LN25612476,0.26548052
LN63967951,0.25102782
LN75308249,0.26886478
LN41372718,0.25204745
LN57193885,0.27556282
LN31449416,0.24681307
LN62032853,0.52561927
LN13962291,0.28667688
LN57871117,0.294422
LN31701311,0.53059334
LN67718588,0.31598812
LN50409616,0.5181884
LN51877859,0.25057748
LN40800110,0.30956683
LN96226880,0.25406387
LN39539743,0.2754658
LN95584157,0.27493328
LN61871628,0.26812416
LN17525077,0.27301404
LN74242664,0.270539
LN92955946,0.31117034
LN38420999,0.25731722
LN19770254,0.26983008
LN48562804,0.31735685
LN40486024,0.31015465
LN86006894,0.322604
LN58963866,0.27447897
LN43093708,0.26258388
LN71656769,0.27186322
LN46215825,0.28296736
LN93324642,0.25770262
LN67123154,0.26886478
LN13200606,0.2622157
LN69756635,0.26029104
LN83270483,0.265119
LN67041716,0.28518638
LN18708070,0.26676214
LN53449670,0.2679575
LN40103357,0.26593
LN12678850,0.25868353
LN22444429,0.2617661
LN28414226,0.3000252
LN39396599,0.2584386
LN55771964,0.26922467
LN47839601,0.26189476
LN83310702,0.31759164
LN70866266,0.2741394
LN84341716,0.32083264
LN23434800,0.2638896
LN95476542,0.27440634
LN62728778,0.25221613
LN61225380,0.26743388
LN72789439,0.27705717
LN43165729,0.2617661
LN88667310,0.2612801
LN79403407,0.26996863
LN83994418,0.3212579
LN12647958,0.5226073
LN28674872,0.2551653
LN47739874,0.25731096
LN63847956,0.30048183
LN78307883,0.273031
LN64117699,0.25945526
LN25959520,0.28108174
LN26490837,0.26244128
LN88782984,0.26986024
LN48184048,0.30779362
LN92903530,0.53473395
LN95442879,0.31048435
LN78714928,0.26051414
LN22983545,0.2616936
LN48461861,0.2510843
LN12532562,0.29265064
LN46442403,0.29292014
LN50324700,0.2911507
LN18747579,0.2527716
LN43571322,0.5299403
LN40592511,0.5261798
LN54894086,0.31123322
LN82461133,0.26812878
LN77722142,0.28082654
LN30476401,0.25430068
LN54552793,0.29268944
LN82791606,0.26483274
LN61151034,0.25354096
LN80390801,0.26869294
LN98181281,0.27471176
LN30565502,0.26171067
LN41452287,0.26612848
LN14992954,0.25438082
LN25231377,0.23573677
LN57088807,0.25535902
LN81961155,0.25147828
LN27385034,0.2603552
LN25807889,0.27520177
LN13952263,0.29250485
LN66629867,0.26227933
LN10404565,0.28056413
LN79212000,0.30373335
LN57187789,0.27257586
LN73347968,0.2727735
LN58623890,0.27919218
LN85256753,0.27031595
LN50695882,0.25029343
LN90603645,0.29331535
LN34753454,0.30507085
LN70424587,0.27950162
LN92793352,0.26940587
LN20802121,0.5284129
LN77498893,0.27766097
LN32200079,0.26825285
LN38863902,0.27053908
LN49086713,0.5152203
LN60644378,0.24108319
LN30857372,0.27710205
LN35737470,0.5218287
LN80229863,0.27691576
LN68066232,0.2756685
LN88074906,0.25628868
LN63344597,0.27374598
LN60579944,0.26621297
LN26745810,0.26767397
LN66996205,0.25506586
LN13540771,0.27309763
LN54626091,0.25568578
LN53043877,0.2526056
LN29823916,0.30116782
LN11761565,0.27527145
